user_id,Какие изменения произошли с вами после обучения в Нетологии?
4409115,
6318071,
6528942,Нашёл новую работу по новой специальности
6623052,Стал фрилансером / нашёл новые проекты
6847364,Другое (что именно)
6819132,
6876721,
6686465,
6776997,Повысили на прежней работе
6702256,Изменений не произошло
6700306,Изменений не произошло
6742382,
6802086,
6752953,Изменений не произошло
6279676,
6389354,
6401857,
6778161,
6778633,
6737817,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6688415,Изменений не произошло
6789042,
6821707,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6823264,
6826952,
6825422,Стал фрилансером / нашёл новые проекты
6347744,
6388028,
6799098,Изменений не произошло
6787268,
5474826,Изменений не произошло
6820367,
6592898,
6393704,Изменений не произошло
6649406,
5715333,
5774286,
6750750,Изменений не произошло
6678968,
6699177,
6774796,
6813754,
6680543,Изменений не произошло
6587905,
6316369,Изменений не произошло
6590829,
6697608,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
22693,Стал фрилансером / нашёл новые проекты
6618290,
6623377,
6803189,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6614395,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6832133,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6286869,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6794476,Нашёл новую работу по новой специальности
6648731,
6854423,Другое (что именно)
6700912,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6656151,
4989122,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6708807,Другое (что именно)
6826707,Изменений не произошло
380355,
5631358,
5759213,
6750716,Изменений не произошло
6694,Нашёл новую работу по новой специальности
6818094,Изменений не произошло
6750446,Изменений не произошло
5852695,
6318443,
6324849,
6642025,
6834174,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6671887,
6786045,Изменений не произошло
6676962,
6697098,Другое (что именно)
6680567,
6709554,
6723711,
6738302,
6600086,Изменений не произошло
6739836,
6825196,Изменений не произошло
6743028,
6747157,
6752757,
6628431,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6790767,Стал фрилансером / нашёл новые проекты
6754459,
6756378,
6277588,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6760826,
6345478,Нашёл новую работу по новой специальности
6802232,
6660724,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6704108,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6159608,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6741330,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6817665,
5981870,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
5734559,Повысили на прежней работе
5767195,
6802681,Другое (что именно)
6381966,Нашёл новую работу по новой специальности
6663153,Нашёл новую работу по новой специальности
6389111,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6814063,Изменений не произошло
6849370,
6796196,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
1457648,Стал фрилансером / нашёл новые проекты
6807737,Нашёл новую работу по новой специальности
6747186,Изменений не произошло
5875466,Изменений не произошло
6855637,
6381156,Изменений не произошло
6740038,Другое (что именно)
6856774,
6652503,Изменений не произошло
6813682,Нашёл новую работу по новой специальности
6858271,
579337,
6175664,Стал фрилансером / нашёл новые проекты
5215571,
6616776,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6583087,
6622478,
6811618,Изменений не произошло
6636758,
6812917,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6210872,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6643969,
5156832,
6607848,
6735992,
6835306,Изменений не произошло
6656360,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6665443,
6690217,Изменений не произошло
6665868,
6686775,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6690732,
6702317,Нашёл новую работу по новой специальности
6694437,
6730694,
6849161,Стал фрилансером / нашёл новые проекты
6770523,
6770526,
6380711,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6823615,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6770529,
6345741,Нашёл новую работу по новой специальности
6635951,Нашёл новую работу по новой специальности
6770533,
6744444,Изменений не произошло
6770536,
6737106,Изменений не произошло
6770552,
6823625,
1496267,Другое (что именно)
6408757,Изменений не произошло
6395267,
6016400,Нашёл новую работу по новой специальности
6594762,
6835217,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6600137,
6631377,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6286632,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
307869,
5295818,
5298137,
5517852,
29160,Нашёл новую работу по новой специальности
6735263,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6677572,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6827155,Повысили на прежней работе
5910069,
6135428,
6814466,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6610560,Нашёл новую работу по новой специальности
5575534,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6607208,Нашёл новую работу по новой специальности
6428781,
5396460,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6574641,
6704826,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6738287,
6774957,
6802693,
6327220,Нашёл новую работу по новой специальности
6805597,Другое (что именно)
6815114,Изменений не произошло
6252932,
6702726,
6742370,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6781910,
6801788,
5835320,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6814223,
6808345,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6353157,
6725840,Другое (что именно)
6778075,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6714869,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6772759,
6638882,Изменений не произошло
6636382,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6588830,
6603057,
6604927,Изменений не произошло
6630978,
6679712,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6782188,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6865004,Нашёл новую работу по новой специальности
6592672,Изменений не произошло
6825086,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6700751,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6846843,Другое (что именно)
6699247,Изменений не произошло
6398107,Нашёл новую работу по новой специальности
6321048,
6539262,
6374677,Изменений не произошло
6394682,Изменений не произошло
6470034,Нашёл новую работу по новой специальности
6779990,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6801818,Изменений не произошло
6635235,
6817488,Изменений не произошло
6386869,
6685349,
6562815,
6727220,
6835077,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6753293,Изменений не произошло
6778125,
6804995,Изменений не произошло
6745488,Изменений не произошло
6822039,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6665870,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6822229,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6790937,
6811203,
6782157,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6813336,
6747187,Изменений не произошло
5266376,
5828989,
6679049,
6045969,Нашёл новую работу по новой специальности
5823182,
6785199,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6165178,
6804558,Изменений не произошло
6632142,Нашёл новую работу по новой специальности
6715814,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6730436,Повысили на прежней работе
5772827,Другое (что именно)
6354857,
6390167,
6394830,
6620778,
5993133,Другое (что именно)
6636752,
6697179,
6822577,Изменений не произошло
6700798,
6629305,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6710677,Другое (что именно)
6714092,
6774514,
6800277,
6801307,
6808343,
6811196,
6847388,Стал фрилансером / нашёл новые проекты
6811596,
6581680,Изменений не произошло
6814548,
6816362,
6628623,Другое (что именно)
6819552,
6374735,Изменений не произошло
6819734,
6819767,
6810384,Другое (что именно)
6821454,
6822430,
6814376,Изменений не произошло
6823712,
6824867,
6826982,
6681037,Нашёл новую работу по новой специальности
6827218,
6831598,
6832241,
6777923,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6850606,
6714008,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6781449,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6737949,Стал фрилансером / нашёл новые проекты
270749,Другое (что именно)
6389261,Нашёл новую работу по новой специальности
6373298,
6441586,
6853582,Изменений не произошло
6211219,Изменений не произошло
6671256,
6691458,
6291080,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6498772,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6639584,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6739669,
5739035,
6170027,
6837049,Изменений не произошло
6647548,
6672973,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6675063,
6864833,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
5449750,Изменений не произошло
6683949,
6687056,
6806198,Нашёл новую работу по новой специальности
6703562,Изменений не произошло
5744409,Нашёл новую работу по новой специальности
6858570,Изменений не произошло
6688819,
6691412,
6692284,
6702327,
6828338,Нашёл новую работу по новой специальности
6718532,
5246621,
5546307,
6280374,
6703712,Изменений не произошло
6303279,
6652458,
6794328,
6859465,
6861446,
6865858,
6870474,
6875448,
6884394,
6489314,
6820909,
6852503,
6867867,Изменений не произошло
6861520,
6364600,
5617764,
6786456,Изменений не произошло
6183879,
6343662,
6779449,Нашёл новую работу по новой специальности
6404521,
6409743,
6623286,
6813125,Изменений не произошло
5978888,Повысили на прежней работе
6664321,
6691502,
6644763,Изменений не произошло
6696060,
6674452,Изменений не произошло
6700831,
6703559,Нашёл новую работу по новой специальности
6708996,Изменений не произошло
6775467,Нашёл новую работу по новой специальности
6706568,
6904253,Нашёл новую работу по новой специальности
6604633,
5509983,
6842055,Изменений не произошло
5949423,
6807185,Повысили на прежней работе
6031147,
6356084,
6698095,Изменений не произошло
6813202,Изменений не произошло
6624228,
6662445,Повысили на прежней работе
6644112,
6681989,
983759,Повысили на прежней работе
6635645,Нашёл новую работу по новой специальности
6747069,Изменений не произошло
6772244,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
3924157,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6736451,
6744174,
6894397,Изменений не произошло
6768339,
6693103,Стал фрилансером / нашёл новые проекты
6774771,
6775902,
6664419,Изменений не произошло
6367588,Другое (что именно)
6779038,
6788217,Изменений не произошло
6790114,Изменений не произошло
6783199,
6808431,Изменений не произошло
6811965,Изменений не произошло
6784218,
6771277,Нашёл новую работу по новой специальности
6785939,
6786060,
6788377,
6318522,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6788961,
627970,Нашёл новую работу по новой специальности
6700483,Изменений не произошло
6779690,Нашёл новую работу по новой специальности
6858163,Изменений не произошло
6425749,Изменений не произошло
6794121,
6842054,Нашёл новую работу по новой специальности
6796383,
6798554,
6795354,Изменений не произошло
6713497,Изменений не произошло
